run_time_s,timestamp,config,actual_rpm,avg_response_time_ms,total_cpu,total_mem,tau_ms,is_trigger
60,2026-01-02 22:32:14,27,635.0,26145.64,0.5834468602828516,2250616832.0,4600.0,1
60,2026-01-02 16:10:52,15,707.0,36662.56,0.5471889185333454,2283728896.0,4600.0,1
60,2026-01-03 19:10:49,40,635.0,29237.34,0.1936896385667609,1832632320.0,4600.0,1
60,2026-01-02 17:54:31,19,650.0,8075.44,0.0451248560476078,2690297856.0,4600.0,1
60,2026-01-03 02:19:04,34,635.0,22568.42,0.5510899454741474,1969078272.0,4600.0,1
60,2026-01-03 01:46:24,33,635.0,28329.86,0.5545351333893844,2026184704.0,4600.0,1
60,2026-01-04 10:49:15,69,635.0,27977.71,0.1763850980250055,1682821120.0,4600.0,1
60,2026-01-04 04:53:29,58,635.0,28322.6,0.1678874437526513,1710673920.0,4600.0,1
60,2026-01-04 07:35:00,63,635.0,29287.57,0.1810521258470397,1888772096.0,4600.0,1
60,2026-01-04 11:21:56,70,635.0,27009.93,0.1701631713708198,1480019968.0,4600.0,1
60,2026-01-02 16:10:52,15,707.0,36662.56,0.5471889185333454,2283728896.0,4600.0,1
60,2026-01-04 10:49:15,69,635.0,27977.71,0.1763850980250055,1682821120.0,4600.0,1
60,2026-01-02 16:10:52,15,707.0,36662.56,0.5471889185333454,2283728896.0,4600.0,1
60,2026-01-04 01:39:16,52,635.0,27660.63,0.1878242092930571,1576898560.0,4600.0,1
60,2026-01-04 08:07:44,64,635.0,28788.19,0.1784705453722292,1692061696.0,4600.0,1
60,2026-01-04 10:49:15,69,635.0,27977.71,0.1763850980250055,1682821120.0,4600.0,1
60,2026-01-02 19:50:44,22,635.0,28504.98,0.5710599565292981,2142707712.0,4600.0,1
60,2026-01-04 11:21:56,70,635.0,27009.93,0.1701631713708198,1480019968.0,4600.0,1
60,2026-01-01 23:54:01,3,707.0,40396.52,0.5704685781065908,2657574912.0,4600.0,1
60,2026-01-02 19:50:44,22,635.0,28504.98,0.5710599565292981,2142707712.0,4600.0,1
60,2026-01-02 22:32:14,27,635.0,26145.64,0.5834468602828516,2250616832.0,4600.0,1
60,2026-01-03 02:19:04,34,635.0,22568.42,0.5510899454741474,1969078272.0,4600.0,1
60,2026-01-03 21:52:21,45,635.0,30013.28,0.2000744984972292,1994518528.0,4600.0,1
60,2026-01-02 16:36:33,16,635.0,30975.63,0.5725124109319703,1970393088.0,4600.0,1
60,2026-01-04 07:35:00,63,635.0,29287.57,0.1810521258470397,1888772096.0,4600.0,1
60,2026-01-02 23:04:56,28,635.0,25939.37,0.5623731184740717,2030030848.0,4600.0,1
60,2026-01-04 11:21:56,70,635.0,27009.93,0.1701631713708198,1480019968.0,4600.0,1
60,2026-01-04 08:07:44,64,635.0,28788.19,0.1784705453722292,1692061696.0,4600.0,1
60,2026-01-04 11:21:56,70,635.0,27009.93,0.1701631713708198,1480019968.0,4600.0,1
